Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,462.000000,477.399994,461.000000,473.600006,463.301483,5614706
2021-06-28,474.399994,476.600006,471.000000,473.799988,463.497131,1985816
2021-06-29,479.000000,479.000000,467.000000,468.600006,458.410217,3375888
2021-06-30,467.399994,470.000000,461.000000,462.799988,452.736328,2364401
2021-07-02,462.200012,463.799988,454.399994,455.799988,445.888519,5813291
2021-07-05,455.799988,462.000000,454.000000,455.600006,445.692902,4304578
2021-07-06,456.000000,467.799988,455.799988,466.200012,456.062408,4394712
2021-07-07,477.000000,495.000000,465.799988,491.000000,480.323090,19324146
2021-07-08,495.000000,510.000000,482.000000,490.000000,479.344849,14650691
2021-07-09,496.799988,496.799988,480.000000,490.000000,479.344849,8041791
2021-07-12,503.000000,508.000000,498.000000,503.000000,492.062164,10410165
2021-07-13,510.000000,511.500000,503.000000,506.000000,494.996918,8223237
2021-07-14,507.500000,510.000000,503.500000,507.000000,495.975189,4914221
2021-07-15,509.000000,511.500000,502.000000,505.000000,494.018677,5192102
2021-07-16,504.000000,531.000000,496.000000,524.000000,512.605530,16894102
2021-07-19,524.000000,528.000000,518.000000,522.000000,510.648987,6526306
2021-07-20,520.000000,530.000000,518.500000,521.000000,509.670746,4146530
2021-07-21,526.500000,535.000000,519.000000,535.000000,523.366333,7588063
2021-07-22,539.000000,544.000000,532.000000,540.000000,528.257568,6565914
2021-07-23,540.000000,540.000000,514.000000,521.000000,509.670746,7116870
2021-07-26,511.000000,517.500000,498.600006,500.000000,489.127411,12369435
2021-07-27,496.000000,501.000000,462.000000,467.200012,457.040649,17102762
2021-07-28,472.000000,480.000000,451.000000,472.600006,462.323212,13086182
2021-07-29,491.600006,500.000000,483.799988,500.000000,489.127411,13546806
2021-07-30,493.600006,496.399994,484.600006,496.000000,485.214386,5184756
2021-08-02,510.500000,518.500000,500.500000,517.500000,506.246857,7435985
2021-08-03,521.500000,525.000000,506.000000,518.000000,506.735962,4700768
2021-08-04,518.000000,527.500000,515.000000,518.000000,506.735962,2892462
2021-08-05,520.500000,527.000000,516.500000,522.000000,510.648987,3150137
2021-08-06,525.500000,531.000000,521.000000,529.500000,517.985962,3791910
2021-08-09,527.500000,531.500000,517.000000,521.000000,509.670746,3398186
2021-08-10,521.000000,522.500000,508.500000,515.500000,504.290344,5532717
2021-08-11,513.000000,521.500000,511.500000,517.500000,506.246857,4426918
2021-08-12,512.000000,513.500000,493.000000,499.200012,488.344788,8385251
2021-08-13,495.000000,501.500000,494.200012,501.000000,490.105652,3110132
2021-08-16,496.799988,497.799988,485.399994,489.200012,478.562286,5039242
2021-08-17,485.600006,488.600006,468.200012,474.799988,464.475372,8366384
2021-08-18,475.399994,489.200012,475.399994,482.399994,471.910126,3484711
2021-08-19,480.799988,484.000000,470.000000,472.600006,462.323212,5078934
2021-08-20,470.000000,471.399994,454.200012,463.200012,453.127625,9480683
2021-08-23,484.399994,494.600006,482.000000,489.399994,478.757904,9995056
2021-08-24,490.000000,492.000000,485.399994,490.200012,484.180511,4171514
2021-08-25,495.000000,499.799988,489.600006,491.000000,484.970673,3876050
2021-08-26,487.600006,489.799988,483.799988,486.799988,480.822235,2133308
2021-08-27,481.799988,488.799988,479.000000,485.799988,479.834503,1969136
2021-08-30,485.799988,494.600006,483.000000,491.600006,485.563324,2144080
2021-08-31,489.600006,494.600006,481.000000,490.799988,484.773102,3470278
2021-09-01,488.200012,499.000000,486.600006,494.200012,488.131378,3297597
2021-09-02,501.000000,514.000000,495.399994,498.399994,492.279785,5097781
2021-09-03,495.000000,495.000000,482.600006,487.600006,481.612427,7340349
2021-09-06,486.000000,500.000000,482.600006,498.000000,491.884705,4857157
2021-09-07,498.000000,509.000000,496.600006,503.000000,496.823303,2930244
2021-09-08,502.500000,505.000000,495.200012,498.000000,491.884705,2688132
2021-09-09,496.000000,497.799988,488.399994,492.200012,486.155945,2882895
2021-09-10,495.600006,506.000000,495.000000,504.000000,497.811035,4758167
2021-09-13,501.000000,508.000000,499.000000,508.000000,501.761932,3751716
2021-09-14,507.500000,515.000000,503.000000,504.500000,498.304901,4059272
2021-09-15,507.500000,512.000000,503.000000,504.500000,498.304901,3333209
2021-09-16,510.000000,510.000000,488.600006,492.200012,486.155945,4233032
2021-09-17,492.200012,496.000000,488.200012,491.799988,485.760834,3377205
2021-09-20,489.000000,490.799988,468.000000,478.799988,472.920471,5347562
2021-09-21,477.000000,484.799988,470.399994,484.399994,478.451721,3082590
2021-09-23,489.399994,492.000000,480.200012,484.399994,478.451721,3266474
2021-09-24,483.200012,484.000000,474.200012,476.399994,470.549957,2628239
2021-09-27,475.000000,481.600006,473.399994,475.000000,469.167145,2110728
2021-09-28,475.000000,478.399994,472.600006,474.000000,468.179413,3248548
2021-09-29,470.200012,476.600006,461.200012,474.799988,468.969604,2884898
2021-09-30,470.200012,479.799988,468.799988,479.799988,473.908203,4043322
2021-10-04,474.000000,478.000000,471.799988,475.200012,469.364716,3333718
2021-10-05,470.200012,477.000000,468.200012,474.000000,468.179413,1690357
2021-10-06,477.200012,477.200012,465.000000,471.200012,465.413818,2011283
2021-10-07,476.000000,480.000000,473.799988,478.799988,472.920471,2324786
2021-10-08,482.200012,482.799988,469.399994,472.000000,466.203979,3619347
2021-10-11,472.000000,479.799988,471.200012,471.200012,465.413818,3795792
2021-10-12,470.000000,472.799988,458.000000,462.200012,456.524353,4907619
2021-10-15,465.000000,469.000000,455.600006,469.000000,463.240814,4247153
2021-10-18,470.000000,473.600006,467.600006,470.600006,464.821198,1711446
2021-10-19,471.000000,483.000000,470.200012,482.799988,476.871368,3566702
2021-10-20,485.000000,495.000000,484.000000,490.799988,484.773102,4999975
2021-10-21,488.399994,490.799988,476.000000,481.399994,475.488556,3481111
2021-10-22,483.200012,484.399994,473.600006,480.000000,474.105743,4101783
2021-10-25,477.200012,487.600006,474.000000,484.200012,478.254181,3022705
2021-10-26,486.000000,490.600006,480.000000,481.799988,475.883636,2079665
2021-10-27,480.000000,481.200012,473.000000,474.799988,468.969604,2650835
2021-10-28,473.399994,475.399994,466.600006,467.600006,461.858032,4342199
2021-10-29,468.799988,474.000000,468.000000,470.799988,465.018707,3083195
2021-11-01,471.399994,472.799988,465.399994,468.200012,462.450653,2178736
2021-11-02,475.799988,475.799988,463.200012,464.000000,458.302216,2796711
2021-11-03,463.200012,466.000000,455.799988,462.799988,457.116943,3382168
2021-11-04,462.799988,470.000000,462.799988,464.399994,458.697296,2076888
2021-11-05,464.000000,467.600006,458.000000,466.000000,460.277679,2729110
2021-11-08,465.600006,468.600006,460.200012,466.799988,461.067841,3250840
2021-11-09,469.600006,469.600006,461.000000,465.000000,459.289948,1796280
2021-11-10,462.799988,465.600006,458.000000,464.000000,458.302216,2335347
2021-11-11,460.799988,466.799988,460.000000,464.600006,458.894867,2459065
2021-11-12,467.799988,467.799988,461.399994,465.000000,459.289948,2533852
2021-11-15,465.000000,468.000000,461.200012,465.200012,459.487488,1741675
2021-11-16,463.399994,469.000000,460.600006,466.000000,460.277679,2561839
2021-11-17,464.200012,464.200012,458.200012,461.600006,455.931702,3399004
2021-11-18,460.200012,466.799988,460.000000,464.799988,459.092377,3377394
2021-11-19,461.799988,465.200012,460.200012,464.399994,458.697296,2361772
2021-11-22,466.600006,466.600006,461.200012,463.200012,457.512054,1916967
2021-11-23,458.200012,461.799988,457.000000,457.799988,452.178345,2874535
2021-11-24,457.799988,459.000000,447.399994,453.000000,447.437286,4860170
2021-11-25,453.000000,459.000000,451.000000,454.799988,449.215179,1823528
2021-11-26,454.799988,454.799988,448.000000,448.600006,443.091339,3040771
2021-11-29,443.000000,452.000000,441.200012,445.000000,439.535553,3124668
2021-11-30,443.000000,444.799988,427.000000,430.000000,424.719727,10435689
2021-12-01,431.600006,442.600006,431.600006,434.799988,429.460785,4950587
2021-12-02,432.000000,433.600006,426.200012,432.000000,426.695160,4613427
2021-12-03,430.000000,454.200012,428.000000,450.799988,445.264313,7261881
2021-12-06,448.200012,468.799988,447.600006,456.000000,450.400452,8795590
2021-12-07,472.000000,473.000000,461.399994,472.799988,466.994141,7794854
2021-12-08,475.000000,475.000000,468.399994,471.200012,465.413818,3482675
2021-12-09,471.799988,476.799988,470.200012,471.200012,465.413818,2709193
2021-12-10,466.000000,470.399994,465.600006,468.200012,462.450653,2225917
2021-12-13,472.399994,478.799988,471.000000,472.799988,466.994141,2982680
2021-12-14,468.799988,470.600006,462.200012,462.799988,457.116943,2122950
2021-12-15,456.200012,460.600006,453.600006,455.799988,450.202911,2691892
2021-12-16,453.200012,459.000000,450.000000,457.000000,451.388184,3055726
2021-12-17,457.000000,459.399994,452.399994,453.000000,447.437286,2784836
2021-12-20,448.600006,454.799988,440.600006,443.799988,438.350250,3326459
2021-12-21,449.000000,454.000000,445.399994,447.600006,442.103607,2171543
2021-12-22,450.000000,451.200012,445.799988,448.000000,442.498688,1804560
2021-12-23,450.000000,453.799988,449.200012,452.000000,446.449585,1418396
2021-12-24,453.799988,453.799988,453.799988,453.799988,448.227478,0
2021-12-28,456.000000,458.200012,450.799988,455.399994,449.807831,1610618
2021-12-29,456.000000,456.399994,451.600006,453.600006,448.029938,840475
2021-12-30,456.799988,457.200012,452.600006,454.200012,448.622589,1206822
2021-12-31,459.000000,459.000000,454.600006,455.399994,449.807831,1080028
2022-01-03,458.399994,460.000000,452.200012,454.600006,449.017670,853712
2022-01-04,456.799988,457.399994,443.600006,449.600006,444.079071,2599577
2022-01-05,452.000000,452.000000,438.799988,440.200012,434.794495,3123277
2022-01-06,430.000000,436.200012,428.200012,435.000000,429.658325,4372394
2022-01-07,438.399994,451.000000,433.200012,449.399994,443.881500,4773532
2022-01-10,449.399994,462.000000,445.399994,458.200012,452.573456,4585695
2022-01-11,458.200012,459.200012,450.399994,452.600006,447.042206,3378343
2022-01-12,458.000000,465.399994,453.200012,461.799988,456.129242,4701683
